,gene_weight,product_accession,locus_tag_old,GeneID,start,end,strand,COG,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,P2TF_description,DeepTF_prediction,ENTRAF_hmm_name,iTAK_Detail,module
H6G84_RS10835,0.0672110677047598,WP_011242430.1,Synpcc7942_1439,,57456.0,59057.0,-,C,"GO:0003674,GO:0003824,GO:0003954,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006091,GO:0006119,GO:0006120,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008137,GO:0008150,GO:0008152,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009579,GO:0009987,GO:0015980,GO:0016020,GO:0016021,GO:0016310,GO:0016491,GO:0016651,GO:0016655,GO:0017144,GO:0019637,GO:0019693,GO:0022900,GO:0022904,GO:0031224,GO:0034357,GO:0034641,GO:0042651,GO:0042773,GO:0042775,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0045333,GO:0046034,GO:0046483,GO:0048037,GO:0048038,GO:0050136,GO:0055086,GO:0055114,GO:0071704,GO:0072521,GO:1901135,GO:1901360,GO:1901564",1.6.5.3,"ko:K00342,ko:K05575","ko00190,ko01100,map00190,map01100","M00144,M00145",R11945,RC00061,"ko00000,ko00001,ko00002,ko01000",3.D.1,-,iJN678.ndhD2,"Oxidored_q5_N,Proton_antipo_M",,0.0,,,33
H6G84_RS11830,-0.1001621405451121,WP_011242402.1,Synpcc7942_1630,,263960.0,264295.0,+,C,"GO:0003674,GO:0003824,GO:0005488,GO:0005506,GO:0005575,GO:0005622,GO:0005623,GO:0006091,GO:0008150,GO:0008152,GO:0009055,GO:0009579,GO:0009987,GO:0015979,GO:0016491,GO:0020037,GO:0022900,GO:0031977,GO:0043167,GO:0043169,GO:0044237,GO:0044424,GO:0044436,GO:0044464,GO:0046872,GO:0046906,GO:0046914,GO:0048037,GO:0055114,GO:0097159,GO:1901363",-,ko:K08906,"ko00195,map00195",-,-,-,"ko00000,ko00001,ko00194",-,-,-,Cytochrome_CBB3,,0.0,,,33
H6G84_RS11835,-0.0658752609871935,WP_011242403.1,Synpcc7942_1631,,264296.0,265195.0,+,S,-,-,-,-,-,-,-,-,-,-,-,"TPR_1,TPR_11,TPR_16,TPR_2,TPR_8",,0.0,,,33
H6G84_RS12515,-0.0632957923515636,WP_126146781.1,,,143401.0,143598.0,-,S,,,,,,,,,,,,,,,,,33
H6G84_RS13060,0.078855576757274,WP_199290768.1,Synpcc7942_0673,mutY,234917.0,235972.0,-,L,-,3.6.1.55,"ko:K03574,ko:K03575","ko03410,map03410",-,-,-,"ko00000,ko00001,ko01000,ko03400",-,-,-,"HhH-GPD,NUDIX_4",,0.0,,,33
H6G84_RS13065,0.172171670604684,WP_199290754.1,Synpcc7942_0672,,235999.0,236976.0,-,K,"GO:0000988,GO:0000990,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006351,GO:0006352,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0016987,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043254,GO:0044087,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0051128,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:2000112,GO:2000142,GO:2001141",-,ko:K03087,"ko02026,ko05111,map02026,map05111",-,-,-,"ko00000,ko00001,ko03021",-,-,-,"Sigma70_r1_2,Sigma70_r2,Sigma70_r3,Sigma70_r4","Sigma factor, RpoD family contains 1 Sigma70_r1_2,1 Sigma70_r2,1 Sigma70_r3,1 Sigma70_r4",1.0,,,33
H6G84_RS13160,-0.0658598574656145,WP_071818110.1,,,4295.0,4414.0,-,U,,,,,,,,,,,,,,,,,33
H6G84_RS12790,0.485626730731848,WP_011377693.1,Synpcc7942_0721,,187966.0,188256.0,+,S,,,,,,,,,,,,,,0.0,,,34
H6G84_RS04645,0.5193303655540051,WP_011378136.1,Synpcc7942_1670,,913442.0,913588.0,-,S,,,,,,,,,,,,,,0.0,,,35
H6G84_RS02565,0.1094662362057658,WP_011244323.1,Synpcc7942_2080,,494847.0,497237.0,-,G,"GO:0003674,GO:0003824,GO:0005975,GO:0008150,GO:0008152,GO:0016829,GO:0016830,GO:0016832,GO:0044238,GO:0071704","4.1.2.22,4.1.2.9",ko:K01621,"ko00030,ko00710,ko01100,ko01120,map00030,map00710,map01100,map01120",-,"R00761,R01621","RC00032,RC00226","ko00000,ko00001,ko01000",-,-,-,"XFP,XFP_C,XFP_N",,0.0,,,36
H6G84_RS02575,0.1136927493017288,WP_011378305.1,Synpcc7942_2078,,498710.0,499348.0,+,G,-,3.1.3.73,ko:K02226,"ko00860,ko01100,map00860,map01100",M00122,"R04594,R11173",RC00017,"ko00000,ko00001,ko00002,ko01000",-,-,-,His_Phos_1,,0.0,,,36
H6G84_RS03535,-0.091297065794231,WP_011244516.1,Synpcc7942_1889,,691693.0,693288.0,+,H,-,-,-,-,-,-,-,-,-,-,-,"Methyltransf_11,Methyltransf_23,Methyltransf_25,Methyltransf_31",,0.0,,,36
H6G84_RS04690,-0.1936248690178768,WP_011244737.1,Synpcc7942_1661,,923553.0,924116.0,-,S,-,-,-,-,-,-,-,-,-,-,-,COP23,,0.0,,,36
H6G84_RS06795,0.1067289798842745,WP_011377490.1,Synpcc7942_0202,,364376.0,365827.0,+,C,-,1.9.3.1,ko:K00404,"ko00190,ko01100,ko02020,map00190,map01100,map02020",M00156,-,-,"ko00000,ko00001,ko00002,ko01000",3.D.4.3,-,-,COX1,,0.0,,,36
H6G84_RS06800,0.1080835558502152,WP_011243622.1,Synpcc7942_0201,,365824.0,366576.0,+,C,-,-,ko:K00405,"ko00190,ko01100,ko02020,map00190,map01100,map02020",M00156,-,-,"ko00000,ko00001,ko00002",3.D.4.3,-,-,FixO,,0.0,,,36
H6G84_RS06805,0.1299336231564981,WP_011377489.1,Synpcc7942_0200,,366577.0,367113.0,+,S,-,-,-,-,-,-,-,-,-,-,-,DUF2231,,0.0,,,36
H6G84_RS06810,0.1053658007151813,WP_011377488.1,Synpcc7942_0199,,367113.0,368039.0,+,S,-,-,-,-,-,-,-,-,-,-,-,DUF2231,,0.0,,,36
H6G84_RS06815,0.1049674526151185,WP_011243625.1,Synpcc7942_0198,,368036.0,369472.0,+,C,-,1.6.99.3,ko:K03885,"ko00190,map00190",-,-,-,"ko00000,ko00001,ko01000",-,-,-,Pyr_redox_2,,0.0,,,36
H6G84_RS07875,0.1661168970092314,WP_011243816.1,Synpcc7942_2604,,577053.0,577640.0,-,C,-,1.9.3.1,ko:K02276,"ko00190,ko01100,map00190,map01100",M00155,R00081,RC00016,"ko00000,ko00001,ko00002,ko01000","3.D.4.4,3.D.4.6",-,-,COX3,,0.0,,,36
H6G84_RS07880,0.1819185859867274,WP_011243817.1,Synpcc7942_2603,ctaD,577692.0,579317.0,-,C,-,1.9.3.1,ko:K02274,"ko00190,ko01100,map00190,map01100",M00155,R00081,RC00016,"ko00000,ko00001,ko00002,ko01000","3.D.4.2,3.D.4.3,3.D.4.4,3.D.4.6",-,-,COX1,,0.0,,,36
H6G84_RS07885,0.2000948137648174,WP_199290682.1,Synpcc7942_2602,,579377.0,580303.0,-,C,"GO:0003674,GO:0003824,GO:0004129,GO:0005215,GO:0005488,GO:0005507,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006091,GO:0006119,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008152,GO:0008324,GO:0009055,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009319,GO:0009987,GO:0015002,GO:0015075,GO:0015077,GO:0015078,GO:0015318,GO:0015672,GO:0015980,GO:0016020,GO:0016021,GO:0016310,GO:0016491,GO:0016675,GO:0016676,GO:0017144,GO:0019637,GO:0019693,GO:0022857,GO:0022890,GO:0022900,GO:0022904,GO:0031224,GO:0031226,GO:0032991,GO:0034220,GO:0034641,GO:0042773,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044281,GO:0044425,GO:0044459,GO:0044464,GO:0045333,GO:0046034,GO:0046483,GO:0046872,GO:0046914,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0055114,GO:0070069,GO:0070469,GO:0071704,GO:0071944,GO:0072521,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:1901135,GO:1901360,GO:1901564,GO:1902494,GO:1902600",1.9.3.1,ko:K02275,"ko00190,ko01100,map00190,map01100",M00155,R00081,RC00016,"ko00000,ko00001,ko00002,ko01000","3.D.4.2,3.D.4.4,3.D.4.6",-,-,"COX2,COX2_TM",,0.0,,,36
H6G84_RS07890,0.2510440578976553,WP_011378529.1,Synpcc7942_2601,,580555.0,581469.0,+,O,-,-,ko:K02259,"ko00190,ko00860,ko01100,ko01110,ko02020,ko04714,map00190,map00860,map01100,map01110,map02020,map04714",M00154,R07412,RC00769,"ko00000,ko00001,ko00002,ko03029",3.D.4.4,-,-,COX15-CtaA,,0.0,,,36
H6G84_RS07895,0.244896676898615,WP_011243820.1,Synpcc7942_2600,,581429.0,582385.0,+,H,"GO:0003674,GO:0003824,GO:0004311,GO:0004659,GO:0005575,GO:0005623,GO:0005886,GO:0006091,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0008495,GO:0009058,GO:0009987,GO:0015980,GO:0016020,GO:0016021,GO:0016740,GO:0016765,GO:0018130,GO:0019438,GO:0031224,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0044425,GO:0044464,GO:0045333,GO:0046148,GO:0046483,GO:0048033,GO:0048034,GO:0051186,GO:0051188,GO:0055114,GO:0071704,GO:0071944,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",2.5.1.141,ko:K02257,"ko00190,ko00860,ko01100,ko01110,ko04714,map00190,map00860,map01100,map01110,map04714",M00154,R07411,RC01786,"ko00000,ko00001,ko00002,ko01000,ko01006,ko03029",-,-,-,UbiA,,0.0,,,36
H6G84_RS07900,0.1765090853930971,WP_011243821.1,Synpcc7942_2599,,582529.0,582882.0,+,S,-,-,-,-,-,-,-,-,-,-,-,MIF,,0.0,,,36
H6G84_RS12365,-0.174689522508357,WP_011377733.1,Synpcc7942_0797,,111578.0,111838.0,-,S,,,,,,,,,,,,,,0.0,,,36
H6G84_RS01790,0.1075048134160143,WP_011244179.1,Synpcc7942_2228,rpsS,358295.0,358570.0,+,J,"GO:0000028,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016043,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02965,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_S19,,0.0,,,37
H6G84_RS01795,0.1438459647446448,WP_011244180.1,Synpcc7942_2227,rplV,358589.0,358942.0,+,J,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0019843,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02890,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L22,,1.0,,,37
H6G84_RS01805,0.1876756605460617,WP_011244182.1,Synpcc7942_2225,rplP,359710.0,360138.0,+,J,"GO:0000049,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02878,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L16,,0.0,,,37
H6G84_RS01810,0.2165189509608502,WP_011244183.1,Synpcc7942_2224,rpmC,360141.0,360335.0,+,J,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02904,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L29,,0.0,,,37
H6G84_RS01815,0.199911016546309,WP_011244184.1,Synpcc7942_2223,rpsQ,360370.0,360618.0,+,J,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0019843,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02961,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_S17,,0.0,,,37
H6G84_RS01820,0.1958773073997757,WP_011244185.1,Synpcc7942_2222,rplN,360630.0,360995.0,+,J,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0070180,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02874,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L14,,0.0,,,37
H6G84_RS01825,0.2220185949099128,WP_011244186.1,Synpcc7942_2221,rplX,360995.0,361336.0,+,J,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0019843,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02895,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,"KOW,ribosomal_L24",,0.0,,,37
H6G84_RS01830,0.2178688864529667,WP_011244187.1,Synpcc7942_2220,rplE,361379.0,361918.0,+,J,"GO:0000027,GO:0000049,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016043,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02931,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,"Ribosomal_L5,Ribosomal_L5_C",,0.0,,,37
H6G84_RS01835,0.2204446626951062,WP_011244188.1,Synpcc7942_2219,rpsH,361946.0,362347.0,+,J,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0019843,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02994,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_S8,,0.0,,,37
H6G84_RS01845,0.2192831183723097,WP_011244190.1,Synpcc7942_2217,rplR,362923.0,363285.0,+,J,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008097,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02881,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L18p,,0.0,,,37
H6G84_RS01850,0.1975095683897652,WP_011244191.1,Synpcc7942_2216,rpsE,363289.0,363831.0,+,J,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0019843,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02988,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,"Ribosomal_S5,Ribosomal_S5_C",,0.0,,,37
H6G84_RS01855,0.1736880935445352,WP_011244192.1,Synpcc7942_2215,rplO,363869.0,364312.0,+,J,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02876,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L27A,,0.0,,,37
H6G84_RS01860,0.108769164485576,WP_011244193.1,Synpcc7942_2214,secY,364434.0,365753.0,+,U,"GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0006810,GO:0008104,GO:0008150,GO:0009579,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0031224,GO:0033036,GO:0034357,GO:0042651,GO:0042886,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0045184,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944",-,ko:K03076,"ko02024,ko03060,ko03070,map02024,map03060,map03070",M00335,-,-,"ko00000,ko00001,ko00002,ko02044",3.A.5,-,-,SecY,,0.0,,,37
H6G84_RS01865,0.1085623013161507,WP_199290595.1,Synpcc7942_2213,,365762.0,366313.0,+,F,"GO:0000166,GO:0003674,GO:0003824,GO:0004017,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006163,GO:0006164,GO:0006167,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009259,GO:0009260,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0017076,GO:0017144,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0019693,GO:0030554,GO:0032261,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034654,GO:0035639,GO:0036094,GO:0043094,GO:0043101,GO:0043167,GO:0043168,GO:0043169,GO:0043173,GO:0044209,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046033,GO:0046390,GO:0046483,GO:0046872,GO:0046940,GO:0050145,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576",2.7.4.3,ko:K00939,"ko00230,ko00730,ko01100,ko01110,ko01130,map00230,map00730,map01100,map01110,map01130",M00049,"R00127,R01547,R11319",RC00002,"ko00000,ko00001,ko00002,ko01000,ko04147",-,-,iJN678.adk,ADK,,0.0,,,37
H6G84_RS01370,0.1804992818485171,WP_011378400.1,Synpcc7942_2309,,277572.0,278168.0,+,O,"GO:0003674,GO:0003824,GO:0004601,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0008152,GO:0009636,GO:0009987,GO:0016209,GO:0016491,GO:0016684,GO:0019725,GO:0042221,GO:0042592,GO:0044424,GO:0044464,GO:0045454,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0051920,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0097237,GO:0098754,GO:0098869,GO:1990748",1.11.1.15,ko:K03386,"ko04214,map04214",-,-,-,"ko00000,ko00001,ko01000,ko04147",-,-,-,"1-cysPrx_C,AhpC-TSA",,0.0,,,38
H6G84_RS04750,0.4258638609864525,WP_011244747.1,Synpcc7942_1649,,937771.0,938487.0,-,C,-,-,-,-,-,-,-,-,-,-,-,"Rubredoxin,Rubrerythrin",,0.0,,,38
